tamano,nivel,archivo,esperado,leido_crudo,ok_crudo,leido_prep,ok_prep,leido_final,formato_final,ok_final
media,medio,media_v1_BJ741CY_deg_medio.jpg,BJ741CY,BJ741CY,True,BJ741CY,True,BJ741CY,mercosur,True
media,fuerte,media_v1_MPT236_deg_fuerte.jpg,MPT236,MPT236,True,MPT236,True,MPT236,viejo,True
media,leve,media_v1_MPT236_deg_leve.jpg,MPT236,MPT236,True,MPT236,True,MPT236,viejo,True
media,medio,media_v1_MPT236_deg_medio.jpg,MPT236,MPT236,True,MPT236,True,MPT236,viejo,True
media,fuerte,media_v1_RE483UK_deg_fuerte.jpg,RE483UK,LRE483UK,False,RE483UK,True,RE483UK,mercosur,True
media,leve,media_v1_RE483UK_deg_leve.jpg,RE483UK,RE483UK,True,RE483UK,True,RE483UK,mercosur,True
media,medio,media_v1_RE483UK_deg_medio.jpg,RE483UK,RE483UK,True,RE483UK,True,RE483UK,mercosur,True
media,fuerte,media_v1_XSO059_deg_fuerte.jpg,XSO059,XSO059,True,XSO059,True,XSO059,viejo,True
media,leve,media_v1_XSO059_deg_leve.jpg,XSO059,XSO059,True,XSO059,True,XSO059,viejo,True
media,medio,media_v1_XSO059_deg_medio.jpg,XSO059,XSO059,True,XSO059,True,XSO059,viejo,True
media,fuerte,media_v2_BJ741CY_deg_fuerte.jpg,BJ741CY,BE,False,RE,False,RE,,False
media,leve,media_v2_BJ741CY_deg_leve.jpg,BJ741CY,BJ744CY,False,BJ744CY,False,BJ744CY,mercosur,False
media,medio,media_v2_BJ741CY_deg_medio.jpg,BJ741CY,BO741CY,False,BO741CY,False,BO741CY,mercosur,False
media,fuerte,media_v2_MPT236_deg_fuerte.jpg,MPT236,MD,False,TD,False,TD,,False
media,leve,media_v2_MPT236_deg_leve.jpg,MPT236,MPT236,True,MPT236,True,MPT236,viejo,True
media,medio,media_v2_MPT236_deg_medio.jpg,MPT236,MPT236,True,MPT236,True,MPT236,viejo,True
media,fuerte,media_v2_RE483UK_deg_fuerte.jpg,RE483UK,A,False,E,False,E,,False
media,leve,media_v2_RE483UK_deg_leve.jpg,RE483UK,RE483UK,True,RE483UK,True,RE483UK,mercosur,True
media,medio,media_v2_RE483UK_deg_medio.jpg,RE483UK,RE483UK,True,RE483UK,True,RE483UK,mercosur,True
media,fuerte,media_v2_XSO059_deg_fuerte.jpg,XSO059,,False,7,False,7,,False
media,leve,media_v2_XSO059_deg_leve.jpg,XSO059,XSO059,True,XSO059,True,XSO059,viejo,True
media,medio,media_v2_XSO059_deg_medio.jpg,XSO059,XSO059,True,XSO059,True,XSO059,viejo,True
mini,fuerte,mini_v1_JOK251_deg_fuerte.jpg,JOK251,258,False,253,False,253,,False
mini,leve,mini_v1_JOK251_deg_leve.jpg,JOK251,JOK251,True,JOK251,True,JOK251,viejo,True
mini,medio,mini_v1_JOK251_deg_medio.jpg,JOK251,JOK251,True,JOK251,True,JOK251,viejo,True
mini,fuerte,mini_v1_PV649EW_deg_fuerte.jpg,PV649EW,O,False,,False,,,False
mini,leve,mini_v1_PV649EW_deg_leve.jpg,PV649EW,PV649EW,True,PV649EW,True,PV649EW,mercosur,True
mini,medio,mini_v1_PV649EW_deg_medio.jpg,PV649EW,PV649EW,True,PV649EW,True,PV649EW,mercosur,True
mini,fuerte,mini_v1_SX087DZ_deg_fuerte.jpg,SX087DZ,,False,,False,,,False
mini,leve,mini_v1_SX087DZ_deg_leve.jpg,SX087DZ,SX087DZ,True,SX087DZ,True,SX087DZ,mercosur,True
mini,medio,mini_v1_SX087DZ_deg_medio.jpg,SX087DZ,S087DZ,False,SX087DZ,True,SX087DZ,mercosur,True
mini,fuerte,mini_v1_YIB703_deg_fuerte.jpg,YIB703,183,False,B63,False,B63,,False
mini,leve,mini_v1_YIB703_deg_leve.jpg,YIB703,YIB703,True,YIB703,True,YIB703,viejo,True
mini,medio,mini_v1_YIB703_deg_medio.jpg,YIB703,YIB703,True,YIB703,True,YIB703,viejo,True
mini,fuerte,mini_v2_JOK251_deg_fuerte.jpg,JOK251,GE,False,E,False,E,,False
mini,leve,mini_v2_JOK251_deg_leve.jpg,JOK251,30K251,False,30K251,False,3OK251,,False
mini,medio,mini_v2_JOK251_deg_medio.jpg,JOK251,K251,False,K251,False,K251,,False
mini,fuerte,mini_v2_PV649EW_deg_fuerte.jpg,PV649EW,S,False,S,False,S,,False
mini,leve,mini_v2_PV649EW_deg_leve.jpg,PV649EW,PV649EM,False,PV649EM,False,PV649EM,mercosur,False
mini,medio,mini_v2_PV649EW_deg_medio.jpg,PV649EW,,False,,False,,,False
mini,fuerte,mini_v2_SX087DZ_deg_fuerte.jpg,SX087DZ,SN,False,SN,False,SN,,False
mini,leve,mini_v2_SX087DZ_deg_leve.jpg,SX087DZ,SX087DZ,True,SX087DZ,True,SX087DZ,mercosur,True
mini,medio,mini_v2_SX087DZ_deg_medio.jpg,SX087DZ,O,False,,False,,,False
mini,fuerte,mini_v2_YIB703_deg_fuerte.jpg,YIB703,WB,False,BE,False,BE,,False
mini,leve,mini_v2_YIB703_deg_leve.jpg,YIB703,YIB703,True,YIB703,True,YIB703,viejo,True
mini,medio,mini_v2_YIB703_deg_medio.jpg,YIB703,B73,False,B703,False,B703,,False
