motor,tamano,nivel,archivo,esperado,leido,confianza,corregido,formato,ok,tiempo_seg
tesseract,grande,sin_degradar,grande_v3_QW372ZP.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.626
tesseract,grande,sin_degradar,grande_v3_VNH615.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.568
tesseract,media,sin_degradar,media_v1_BJ741CY.jpg,BJ741CY,B741CY,0.0,B741CY,,False,0.364
tesseract,media,sin_degradar,media_v1_MPT236.jpg,MPT236,MPT236,0.0,MPT236,viejo,True,0.451
tesseract,media,sin_degradar,media_v1_RE483UK.jpg,RE483UK,RE483UK,0.0,RE483UK,mercosur,True,0.392
tesseract,media,sin_degradar,media_v1_XSO059.jpg,XSO059,XSO059,0.0,XSO059,viejo,True,0.416
tesseract,media,sin_degradar,media_v2_BJ741CY.jpg,BJ741CY,BJ744CY,0.0,BJ744CY,mercosur,False,0.349
tesseract,media,sin_degradar,media_v2_MPT236.jpg,MPT236,MPT236,0.0,MPT236,viejo,True,0.349
tesseract,media,sin_degradar,media_v2_RE483UK.jpg,RE483UK,RE483UK,0.0,RE483UK,mercosur,True,0.322
tesseract,media,sin_degradar,media_v2_XSO059.jpg,XSO059,XSO059,0.0,XSO059,viejo,True,0.334
tesseract,mini,sin_degradar,mini_v1_JOK251.jpg,JOK251,JOK251,0.0,JOK251,viejo,True,0.366
tesseract,mini,sin_degradar,mini_v1_PV649EW.jpg,PV649EW,PV649EW,0.0,PV649EW,mercosur,True,0.339
tesseract,mini,sin_degradar,mini_v1_SX087DZ.jpg,SX087DZ,SX087DZ,0.0,SX087DZ,mercosur,True,0.35
tesseract,mini,sin_degradar,mini_v1_YIB703.jpg,YIB703,YIB703,0.0,YIB703,viejo,True,0.351
tesseract,mini,sin_degradar,mini_v2_JOK251.jpg,JOK251,30K253,0.0,3OK253,,False,0.34
tesseract,mini,sin_degradar,mini_v2_PV649EW.jpg,PV649EW,P649EW,0.0,P649EW,,False,0.391
tesseract,mini,sin_degradar,mini_v2_SX087DZ.jpg,SX087DZ,SX087DZ,0.0,SX087DZ,mercosur,True,0.371
tesseract,mini,sin_degradar,mini_v2_YIB703.jpg,YIB703,YIB703,0.0,YIB703,viejo,True,0.352
tesseract,chica,fuerte,chica_v1_AF520GN_deg_fuerte.jpg,AF520GN,AF520GN,0.0,AF520GN,mercosur,True,0.432
tesseract,chica,leve,chica_v1_AF520GN_deg_leve.jpg,AF520GN,AF520GN,0.0,AF520GN,mercosur,True,0.618
tesseract,chica,medio,chica_v1_AF520GN_deg_medio.jpg,AF520GN,AF520GN,0.0,AF520GN,mercosur,True,0.468
tesseract,chica,fuerte,chica_v1_HM316QL_deg_fuerte.jpg,HM316QL,216OL,0.0,216OL,,False,0.541
tesseract,chica,leve,chica_v1_HM316QL_deg_leve.jpg,HM316QL,HM316QL,0.0,HM316QL,mercosur,True,0.454
tesseract,chica,medio,chica_v1_HM316QL_deg_medio.jpg,HM316QL,HM316OL,0.0,HM316OL,mercosur,False,0.595
tesseract,chica,fuerte,chica_v1_TCU894_deg_fuerte.jpg,TCU894,TCU894,0.0,TCU894,viejo,True,0.504
tesseract,chica,leve,chica_v1_TCU894_deg_leve.jpg,TCU894,TCU894,0.0,TCU894,viejo,True,0.413
tesseract,chica,medio,chica_v1_TCU894_deg_medio.jpg,TCU894,TCU894,0.0,TCU894,viejo,True,0.397
tesseract,chica,fuerte,chica_v1_ZWD167_deg_fuerte.jpg,ZWD167,ZMD167,0.0,ZMD167,viejo,False,0.384
tesseract,chica,leve,chica_v1_ZWD167_deg_leve.jpg,ZWD167,ZWD167,0.0,ZWD167,viejo,True,0.378
tesseract,chica,medio,chica_v1_ZWD167_deg_medio.jpg,ZWD167,ZWD167,0.0,ZWD167,viejo,True,0.429
tesseract,chica,fuerte,chica_v2_AF520GN_deg_fuerte.jpg,AF520GN,,0.0,,,False,0.598
tesseract,chica,leve,chica_v2_AF520GN_deg_leve.jpg,AF520GN,AF520GN,0.0,AF520GN,mercosur,True,0.451
tesseract,chica,medio,chica_v2_AF520GN_deg_medio.jpg,AF520GN,AFS20GN,0.0,AF520GN,mercosur,True,0.371
tesseract,chica,fuerte,chica_v2_HM316QL_deg_fuerte.jpg,HM316QL,R,0.0,R,,False,0.432
tesseract,chica,leve,chica_v2_HM316QL_deg_leve.jpg,HM316QL,VHM316OL,0.0,VHM316OL,,False,0.406
tesseract,chica,medio,chica_v2_HM316QL_deg_medio.jpg,HM316QL,316,0.0,316,,False,0.392
tesseract,chica,fuerte,chica_v2_TCU894_deg_fuerte.jpg,TCU894,NG,0.0,NG,,False,0.396
tesseract,chica,leve,chica_v2_TCU894_deg_leve.jpg,TCU894,TCU894,0.0,TCU894,viejo,True,0.404
tesseract,chica,medio,chica_v2_TCU894_deg_medio.jpg,TCU894,TCU894,0.0,TCU894,viejo,True,0.493
tesseract,chica,fuerte,chica_v2_ZWD167_deg_fuerte.jpg,ZWD167,T,0.0,T,,False,0.402
tesseract,chica,leve,chica_v2_ZWD167_deg_leve.jpg,ZWD167,ZMD167,0.0,ZMD167,viejo,False,0.423
tesseract,chica,medio,chica_v2_ZWD167_deg_medio.jpg,ZWD167,ZWD167,0.0,ZWD167,viejo,True,0.417
tesseract,grande,fuerte,grande_v1_DL908XR_deg_fuerte.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.425
tesseract,grande,leve,grande_v1_DL908XR_deg_leve.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.597
tesseract,grande,medio,grande_v1_DL908XR_deg_medio.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.553
tesseract,grande,fuerte,grande_v1_KGF480_deg_fuerte.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.523
tesseract,grande,leve,grande_v1_KGF480_deg_leve.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.613
tesseract,grande,medio,grande_v1_KGF480_deg_medio.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.518
tesseract,grande,fuerte,grande_v1_QW372ZP_deg_fuerte.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.457
tesseract,grande,leve,grande_v1_QW372ZP_deg_leve.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.558
tesseract,grande,medio,grande_v1_QW372ZP_deg_medio.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.551
tesseract,grande,fuerte,grande_v1_VNH615_deg_fuerte.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.481
tesseract,grande,leve,grande_v1_VNH615_deg_leve.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.57
tesseract,grande,medio,grande_v1_VNH615_deg_medio.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.525
tesseract,grande,fuerte,grande_v2_DL908XR_deg_fuerte.jpg,DL908XR,,0.0,,,False,0.395
tesseract,grande,leve,grande_v2_DL908XR_deg_leve.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.56
tesseract,grande,medio,grande_v2_DL908XR_deg_medio.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.42
tesseract,grande,fuerte,grande_v2_KGF480_deg_fuerte.jpg,KGF480,E480,0.2,E480,,False,0.407
tesseract,grande,leve,grande_v2_KGF480_deg_leve.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.398
tesseract,grande,medio,grande_v2_KGF480_deg_medio.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.397
tesseract,grande,fuerte,grande_v2_QW372ZP_deg_fuerte.jpg,QW372ZP,043722,0.18,O43722,,False,0.389
tesseract,grande,leve,grande_v2_QW372ZP_deg_leve.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.437
tesseract,grande,medio,grande_v2_QW372ZP_deg_medio.jpg,QW372ZP,QH372ZP,0.0,QH372ZP,mercosur,False,0.398
tesseract,grande,fuerte,grande_v2_VNH615_deg_fuerte.jpg,VNH615,YMH625,0.0,YMH625,viejo,False,0.406
tesseract,grande,leve,grande_v2_VNH615_deg_leve.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.427
tesseract,grande,medio,grande_v2_VNH615_deg_medio.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.479
tesseract,grande,fuerte,grande_v3_DL908XR_deg_fuerte.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.613
tesseract,grande,leve,grande_v3_DL908XR_deg_leve.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.8
tesseract,grande,medio,grande_v3_DL908XR_deg_medio.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.751
tesseract,grande,fuerte,grande_v3_KGF480_deg_fuerte.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.578
tesseract,grande,leve,grande_v3_KGF480_deg_leve.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.768
tesseract,grande,medio,grande_v3_KGF480_deg_medio.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.708
tesseract,grande,fuerte,grande_v3_QW372ZP_deg_fuerte.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.575
tesseract,grande,leve,grande_v3_QW372ZP_deg_leve.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.869
tesseract,grande,medio,grande_v3_QW372ZP_deg_medio.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.74
tesseract,grande,fuerte,grande_v3_VNH615_deg_fuerte.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.625
tesseract,grande,leve,grande_v3_VNH615_deg_leve.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.738
tesseract,grande,medio,grande_v3_VNH615_deg_medio.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.702
tesseract,media,fuerte,media_v1_BJ741CY_deg_fuerte.jpg,BJ741CY,B741CY,0.0,B741CY,,False,0.45
tesseract,media,leve,media_v1_BJ741CY_deg_leve.jpg,BJ741CY,BJ741CY,0.0,BJ741CY,mercosur,True,0.454
tesseract,media,medio,media_v1_BJ741CY_deg_medio.jpg,BJ741CY,BJ741CY,0.0,BJ741CY,mercosur,True,0.536
tesseract,media,fuerte,media_v1_MPT236_deg_fuerte.jpg,MPT236,MPT236,0.0,MPT236,viejo,True,0.476
tesseract,media,leve,media_v1_MPT236_deg_leve.jpg,MPT236,MPT236,0.0,MPT236,viejo,True,0.554
tesseract,media,medio,media_v1_MPT236_deg_medio.jpg,MPT236,MPT236,0.0,MPT236,viejo,True,0.529
tesseract,media,fuerte,media_v1_RE483UK_deg_fuerte.jpg,RE483UK,RE483UK,0.0,RE483UK,mercosur,True,0.59
tesseract,media,leve,media_v1_RE483UK_deg_leve.jpg,RE483UK,RE483UK,0.0,RE483UK,mercosur,True,0.451
tesseract,media,medio,media_v1_RE483UK_deg_medio.jpg,RE483UK,RE483UK,0.0,RE483UK,mercosur,True,0.414
tesseract,media,fuerte,media_v1_XSO059_deg_fuerte.jpg,XSO059,XSO059,0.0,XSO059,viejo,True,0.4
tesseract,media,leve,media_v1_XSO059_deg_leve.jpg,XSO059,XSO059,0.0,XSO059,viejo,True,0.487
tesseract,media,medio,media_v1_XSO059_deg_medio.jpg,XSO059,XSO059,0.0,XSO059,viejo,True,0.431
tesseract,media,fuerte,media_v2_BJ741CY_deg_fuerte.jpg,BJ741CY,RE,0.11,RE,,False,0.421
tesseract,media,leve,media_v2_BJ741CY_deg_leve.jpg,BJ741CY,BJ744CY,0.0,BJ744CY,mercosur,False,0.432
tesseract,media,medio,media_v2_BJ741CY_deg_medio.jpg,BJ741CY,BO741CY,0.0,BO741CY,mercosur,False,0.394
tesseract,media,fuerte,media_v2_MPT236_deg_fuerte.jpg,MPT236,TD,0.0,TD,,False,0.399
tesseract,media,leve,media_v2_MPT236_deg_leve.jpg,MPT236,MPT236,0.0,MPT236,viejo,True,0.38
tesseract,media,medio,media_v2_MPT236_deg_medio.jpg,MPT236,MPT236,0.0,MPT236,viejo,True,0.367
tesseract,media,fuerte,media_v2_RE483UK_deg_fuerte.jpg,RE483UK,E,0.0,E,,False,0.423
tesseract,media,leve,media_v2_RE483UK_deg_leve.jpg,RE483UK,RE483UK,0.0,RE483UK,mercosur,True,0.421
tesseract,media,medio,media_v2_RE483UK_deg_medio.jpg,RE483UK,RE483UK,0.0,RE483UK,mercosur,True,0.401
tesseract,media,fuerte,media_v2_XSO059_deg_fuerte.jpg,XSO059,7,0.0,7,,False,0.397
tesseract,media,leve,media_v2_XSO059_deg_leve.jpg,XSO059,XSO059,0.0,XSO059,viejo,True,0.369
tesseract,media,medio,media_v2_XSO059_deg_medio.jpg,XSO059,XSO059,0.0,XSO059,viejo,True,0.405
tesseract,mini,fuerte,mini_v1_JOK251_deg_fuerte.jpg,JOK251,253,0.0,253,,False,0.394
tesseract,mini,leve,mini_v1_JOK251_deg_leve.jpg,JOK251,JOK251,0.0,JOK251,viejo,True,0.456
tesseract,mini,medio,mini_v1_JOK251_deg_medio.jpg,JOK251,JOK251,0.0,JOK251,viejo,True,0.418
tesseract,mini,fuerte,mini_v1_PV649EW_deg_fuerte.jpg,PV649EW,,0.0,,,False,0.533
tesseract,mini,leve,mini_v1_PV649EW_deg_leve.jpg,PV649EW,PV649EW,0.0,PV649EW,mercosur,True,0.402
tesseract,mini,medio,mini_v1_PV649EW_deg_medio.jpg,PV649EW,PV649EW,0.0,PV649EW,mercosur,True,0.403
tesseract,mini,fuerte,mini_v1_SX087DZ_deg_fuerte.jpg,SX087DZ,,0.0,,,False,0.374
tesseract,mini,leve,mini_v1_SX087DZ_deg_leve.jpg,SX087DZ,SX087DZ,0.0,SX087DZ,mercosur,True,0.368
tesseract,mini,medio,mini_v1_SX087DZ_deg_medio.jpg,SX087DZ,SX087DZ,0.0,SX087DZ,mercosur,True,0.39
tesseract,mini,fuerte,mini_v1_YIB703_deg_fuerte.jpg,YIB703,B63,0.0,B63,,False,0.396
tesseract,mini,leve,mini_v1_YIB703_deg_leve.jpg,YIB703,YIB703,0.0,YIB703,viejo,True,0.384
tesseract,mini,medio,mini_v1_YIB703_deg_medio.jpg,YIB703,YIB703,0.0,YIB703,viejo,True,0.431
tesseract,mini,fuerte,mini_v2_JOK251_deg_fuerte.jpg,JOK251,E,0.0,E,,False,0.329
tesseract,mini,leve,mini_v2_JOK251_deg_leve.jpg,JOK251,30K251,0.0,3OK251,,False,0.414
tesseract,mini,medio,mini_v2_JOK251_deg_medio.jpg,JOK251,K251,0.0,K251,,False,0.449
tesseract,mini,fuerte,mini_v2_PV649EW_deg_fuerte.jpg,PV649EW,S,0.0,S,,False,0.394
tesseract,mini,leve,mini_v2_PV649EW_deg_leve.jpg,PV649EW,PV649EM,0.0,PV649EM,mercosur,False,0.409
tesseract,mini,medio,mini_v2_PV649EW_deg_medio.jpg,PV649EW,,0.0,,,False,0.381
tesseract,mini,fuerte,mini_v2_SX087DZ_deg_fuerte.jpg,SX087DZ,SN,0.06,SN,,False,0.41
tesseract,mini,leve,mini_v2_SX087DZ_deg_leve.jpg,SX087DZ,SX087DZ,0.0,SX087DZ,mercosur,True,0.383
tesseract,mini,medio,mini_v2_SX087DZ_deg_medio.jpg,SX087DZ,,0.0,,,False,0.389
tesseract,mini,fuerte,mini_v2_YIB703_deg_fuerte.jpg,YIB703,BE,0.09,BE,,False,0.36
tesseract,mini,leve,mini_v2_YIB703_deg_leve.jpg,YIB703,YIB703,0.0,YIB703,viejo,True,0.406
tesseract,mini,medio,mini_v2_YIB703_deg_medio.jpg,YIB703,B703,0.0,B703,,False,0.423
easyocr,chica,sin_degradar,chica_v1_AF520GN.jpg,AF520GN,AF520GN,1.0,AF520GN,mercosur,True,2.512
easyocr,chica,sin_degradar,chica_v1_HM316QL.jpg,HM316QL,HM316QL,0.75,HM316QL,mercosur,True,0.998
easyocr,chica,sin_degradar,chica_v1_TCU894.jpg,TCU894,TCU894,0.998,TCU894,viejo,True,0.967
easyocr,chica,sin_degradar,chica_v1_ZWD167.jpg,ZWD167,ZWD167,1.0,ZWD167,viejo,True,0.888
easyocr,chica,sin_degradar,chica_v2_AF520GN.jpg,AF520GN,AF520GN,0.928,AF520GN,mercosur,True,0.355
easyocr,chica,sin_degradar,chica_v2_HM316QL.jpg,HM316QL,HM316QL,1.0,HM316QL,mercosur,True,0.327
easyocr,chica,sin_degradar,chica_v2_TCU894.jpg,TCU894,TCU894,0.855,TCU894,viejo,True,0.239
easyocr,chica,sin_degradar,chica_v2_ZWD167.jpg,ZWD167,ZWD167,0.689,ZWD167,viejo,True,0.276
easyocr,grande,sin_degradar,grande_v1_DL908XR.jpg,DL908XR,DL908XR,0.998,DL908XR,mercosur,True,2.637
easyocr,grande,sin_degradar,grande_v1_KGF480.jpg,KGF480,KGF480,0.983,KGF480,viejo,True,2.661
easyocr,grande,sin_degradar,grande_v1_QW372ZP.jpg,QW372ZP,QW372ZP,0.946,QW372ZP,mercosur,True,2.574
easyocr,grande,sin_degradar,grande_v1_VNH615.jpg,VNH615,VNH615,1.0,VNH615,viejo,True,2.56
easyocr,grande,sin_degradar,grande_v2_DL908XR.jpg,DL908XR,DL908XR,0.999,DL908XR,mercosur,True,0.774
easyocr,grande,sin_degradar,grande_v2_KGF480.jpg,KGF480,KGF480,0.999,KGF480,viejo,True,0.71
easyocr,grande,sin_degradar,grande_v2_QW372ZP.jpg,QW372ZP,QW372ZP,0.998,QW372ZP,mercosur,True,0.691
easyocr,grande,sin_degradar,grande_v2_VNH615.jpg,VNH615,VNH615,1.0,VNH615,viejo,True,0.79
easyocr,grande,sin_degradar,grande_v3_DL908XR.jpg,DL908XR,DL908XR,0.997,DL908XR,mercosur,True,4.639
easyocr,grande,sin_degradar,grande_v3_KGF480.jpg,KGF480,KGF480,0.928,KGF480,viejo,True,4.039
easyocr,grande,sin_degradar,grande_v3_QW372ZP.jpg,QW372ZP,QW372ZP,0.841,QW372ZP,mercosur,True,4.341
easyocr,grande,sin_degradar,grande_v3_VNH615.jpg,VNH615,VNH615,1.0,VNH615,viejo,True,3.82
easyocr,media,sin_degradar,media_v1_BJ741CY.jpg,BJ741CY,BJ741CV,0.824,BJ741CV,mercosur,False,1.455
easyocr,media,sin_degradar,media_v1_MPT236.jpg,MPT236,MPT236,0.999,MPT236,viejo,True,1.375
easyocr,media,sin_degradar,media_v1_RE483UK.jpg,RE483UK,RE483UK,1.0,RE483UK,mercosur,True,1.629
easyocr,media,sin_degradar,media_v1_XSO059.jpg,XSO059,XSO059,0.991,XSO059,viejo,True,1.326
easyocr,media,sin_degradar,media_v2_BJ741CY.jpg,BJ741CY,BJ741CY,0.967,BJ741CY,mercosur,True,0.345
easyocr,media,sin_degradar,media_v2_MPT236.jpg,MPT236,MPT236,1.0,MPT236,viejo,True,0.371
easyocr,media,sin_degradar,media_v2_RE483UK.jpg,RE483UK,RE483UK,1.0,RE483UK,mercosur,True,0.315
easyocr,media,sin_degradar,media_v2_XSO059.jpg,XSO059,XSO059,0.992,XSO059,viejo,True,0.309
easyocr,mini,sin_degradar,mini_v1_JOK251.jpg,JOK251,JOK251,0.98,JOK251,viejo,True,0.465
easyocr,mini,sin_degradar,mini_v1_PV649EW.jpg,PV649EW,PV649EW,0.962,PV649EW,mercosur,True,0.469
easyocr,mini,sin_degradar,mini_v1_SX087DZ.jpg,SX087DZ,SX087DZ,0.999,SX087DZ,mercosur,True,0.598
easyocr,mini,sin_degradar,mini_v1_YIB703.jpg,YIB703,YIB703,0.982,YIB703,viejo,True,0.451
easyocr,mini,sin_degradar,mini_v2_JOK251.jpg,JOK251,JOK251,1.0,JOK251,viejo,True,0.21
easyocr,mini,sin_degradar,mini_v2_PV649EW.jpg,PV649EW,PV649EH,0.879,PV649EH,mercosur,False,0.159
easyocr,mini,sin_degradar,mini_v2_SX087DZ.jpg,SX087DZ,SX087DZ,0.999,SX087DZ,mercosur,True,0.149
easyocr,mini,sin_degradar,mini_v2_YIB703.jpg,YIB703,YIB703,0.995,YIB703,viejo,True,0.165
easyocr,chica,fuerte,chica_v1_AF520GN_deg_fuerte.jpg,AF520GN,AF527CN,0.048,AF527CN,mercosur,False,0.957
easyocr,chica,leve,chica_v1_AF520GN_deg_leve.jpg,AF520GN,AF520GN,1.0,AF520GN,mercosur,True,0.869
easyocr,chica,medio,chica_v1_AF520GN_deg_medio.jpg,AF520GN,AF520GN,1.0,AF520GN,mercosur,True,1.072
easyocr,chica,fuerte,chica_v1_HM316QL_deg_fuerte.jpg,HM316QL,44J4,0.035,44J4,,False,1.106
easyocr,chica,leve,chica_v1_HM316QL_deg_leve.jpg,HM316QL,HM316QL,1.0,HM316QL,mercosur,True,0.93
easyocr,chica,medio,chica_v1_HM316QL_deg_medio.jpg,HM316QL,HM316QL,0.962,HM316QL,mercosur,True,1.043
easyocr,chica,fuerte,chica_v1_TCU894_deg_fuerte.jpg,TCU894,TCU894,0.604,TCU894,viejo,True,1.019
easyocr,chica,leve,chica_v1_TCU894_deg_leve.jpg,TCU894,TCU894,0.999,TCU894,viejo,True,1.093
easyocr,chica,medio,chica_v1_TCU894_deg_medio.jpg,TCU894,TCU894,0.986,TCU894,viejo,True,0.818
easyocr,chica,fuerte,chica_v1_ZWD167_deg_fuerte.jpg,ZWD167,ZXD167,0.304,ZXD167,viejo,False,1.052
easyocr,chica,leve,chica_v1_ZWD167_deg_leve.jpg,ZWD167,ZWD167,0.999,ZWD167,viejo,True,0.895
easyocr,chica,medio,chica_v1_ZWD167_deg_medio.jpg,ZWD167,ZWD167,0.999,ZWD167,viejo,True,0.703
easyocr,chica,fuerte,chica_v2_AF520GN_deg_fuerte.jpg,AF520GN,,0.0,,,False,0.114
easyocr,chica,leve,chica_v2_AF520GN_deg_leve.jpg,AF520GN,AF520GN,1.0,AF520GN,mercosur,True,0.173
easyocr,chica,medio,chica_v2_AF520GN_deg_medio.jpg,AF520GN,AF920GR,0.393,AF920GR,mercosur,False,0.236
easyocr,chica,fuerte,chica_v2_HM316QL_deg_fuerte.jpg,HM316QL,,0.0,,,False,0.129
easyocr,chica,leve,chica_v2_HM316QL_deg_leve.jpg,HM316QL,HM316QL,0.996,HM316QL,mercosur,True,0.197
easyocr,chica,medio,chica_v2_HM316QL_deg_medio.jpg,HM316QL,AJ6AL,0.023,AJ6AL,,False,0.272
easyocr,chica,fuerte,chica_v2_TCU894_deg_fuerte.jpg,TCU894,,0.0,,,False,0.113
easyocr,chica,leve,chica_v2_TCU894_deg_leve.jpg,TCU894,TCU896,0.6,TCU896,viejo,False,0.176
easyocr,chica,medio,chica_v2_TCU894_deg_medio.jpg,TCU894,TCU094,0.45,TCU094,viejo,False,0.188
easyocr,chica,fuerte,chica_v2_ZWD167_deg_fuerte.jpg,ZWD167,,0.0,,,False,0.135
easyocr,chica,leve,chica_v2_ZWD167_deg_leve.jpg,ZWD167,ZWD167,0.998,ZWD167,viejo,True,0.188
easyocr,chica,medio,chica_v2_ZWD167_deg_medio.jpg,ZWD167,ZND167,0.973,ZND167,viejo,False,0.187
easyocr,grande,fuerte,grande_v1_DL908XR_deg_fuerte.jpg,DL908XR,DL908XR,0.974,DL908XR,mercosur,True,1.941
easyocr,grande,leve,grande_v1_DL908XR_deg_leve.jpg,DL908XR,DL908XR,0.999,DL908XR,mercosur,True,1.879
easyocr,grande,medio,grande_v1_DL908XR_deg_medio.jpg,DL908XR,DL908XR,0.999,DL908XR,mercosur,True,1.984
easyocr,grande,fuerte,grande_v1_KGF480_deg_fuerte.jpg,KGF480,KGF480,0.997,KGF480,viejo,True,1.766
easyocr,grande,leve,grande_v1_KGF480_deg_leve.jpg,KGF480,KGF480,0.991,KGF480,viejo,True,1.746
easyocr,grande,medio,grande_v1_KGF480_deg_medio.jpg,KGF480,KGF480,0.999,KGF480,viejo,True,1.867
easyocr,grande,fuerte,grande_v1_QW372ZP_deg_fuerte.jpg,QW372ZP,QH372ZP,0.803,QH372ZP,mercosur,False,1.808
easyocr,grande,leve,grande_v1_QW372ZP_deg_leve.jpg,QW372ZP,QW372ZP,0.999,QW372ZP,mercosur,True,1.798
easyocr,grande,medio,grande_v1_QW372ZP_deg_medio.jpg,QW372ZP,QW372ZP,0.966,QW372ZP,mercosur,True,1.918
easyocr,grande,fuerte,grande_v1_VNH615_deg_fuerte.jpg,VNH615,VNH615,0.943,VNH615,viejo,True,1.937
easyocr,grande,leve,grande_v1_VNH615_deg_leve.jpg,VNH615,VNH615,1.0,VNH615,viejo,True,1.827
easyocr,grande,medio,grande_v1_VNH615_deg_medio.jpg,VNH615,VNH615,1.0,VNH615,viejo,True,1.904
easyocr,grande,fuerte,grande_v2_DL908XR_deg_fuerte.jpg,DL908XR,3MB4,0.013,3MB4,,False,0.58
easyocr,grande,leve,grande_v2_DL908XR_deg_leve.jpg,DL908XR,DL908XR,0.961,DL908XR,mercosur,True,0.522
easyocr,grande,medio,grande_v2_DL908XR_deg_medio.jpg,DL908XR,DL908XR,0.998,DL908XR,mercosur,True,0.539
easyocr,grande,fuerte,grande_v2_KGF480_deg_fuerte.jpg,KGF480,GE0,0.067,GE0,,False,0.462
easyocr,grande,leve,grande_v2_KGF480_deg_leve.jpg,KGF480,KGF480,0.988,KGF480,viejo,True,0.45
